transaction_id,company_id,employee_id,employee_name,merchant_name,category,transaction_timestamp,amount,is_international,merchant_country,employee_avg_amount,employee_amount_stddev,transactions_in_burst,large_transaction_flag,unusual_amount_flag,velocity_flag,international_risk_flag,fraud_risk_score,fraud_risk_level
6180,52,1171,Jennifer Sanchez,Barnes Group,Travel,2026-06-29 12:01:13.672950,15218.21,True,GB,1022.16,3665.8,1,1,1,0,1,3,high_risk
22365,18,1630,Richard King,"Jackson, Mendez and Nguyen",Transportation,2025-09-17 08:46:13.672950,13054.39,True,GB,681.01,2449.52,1,1,1,0,1,3,high_risk
46604,21,228,Jennifer Wilcox,Morgan and Sons,Advertising,2025-09-17 12:04:13.672950,11499.07,True,JP,525.32,2114.55,1,1,1,0,1,3,high_risk
49334,32,1596,Lauren Carr DDS,Miller Ltd,Office Supplies,2026-03-15 06:20:13.672950,11258.69,True,DE,883.14,2578.24,1,1,1,0,1,3,high_risk
14803,15,1809,Michael Wilson,"Hamilton, Green and Edwards",Professional Services,2026-03-21 21:12:13.672950,11196.83,True,GB,467.39,2066.11,1,1,1,0,1,3,high_risk
40539,21,1141,Stephanie Gonzalez,Lee-Gregory,Meals,2025-10-27 06:09:13.672950,10778.61,True,GB,635.68,2272.93,1,1,1,0,1,3,high_risk
15331,44,865,Dr. Michele Reynolds,Parker Group,Office Supplies,2026-05-18 00:39:13.672950,10694.45,True,GB,763.7,2335.2,1,1,1,0,1,3,high_risk
19608,14,1458,Richard Anderson,Kennedy-Francis,Meals,2025-07-09 09:05:13.672950,9885.15,True,JP,605.32,2251.09,1,1,1,0,1,3,high_risk
5754,45,558,Kelly Sanchez,Friedman PLC,Office Supplies,2026-02-04 10:29:13.672950,8438.99,True,DE,410.76,1609.3,1,1,1,0,1,3,high_risk
22945,20,607,Linda Mueller,"Acevedo, Miller and Edwards",Software,2026-06-27 23:14:13.672950,8433.79,True,JP,507.34,1819.86,1,1,1,0,1,3,high_risk
20364,90,112,Joseph Ramos,Harrington-Alvarez,Office Supplies,2025-07-12 00:32:13.672950,8384.99,True,CA,436.32,1595.86,1,1,1,0,1,3,high_risk
33229,96,668,Dylan Lopez,"Mckinney, Pacheco and Smith",Office Supplies,2026-05-17 00:57:13.672950,7694.05,True,CA,429.97,1588.43,1,1,1,0,1,3,high_risk
